word,num_syll
государей,4
Россия,3
ты,1
камне,2
крови,2
Участвовать,4
твоей,2
железной,3
каре,2
Хоть,1
тяжестью,3
меня,2
благослови,4
Средь,1
аляповатых,5
дач,1
Где,1
шатается,4
шарманка,3
собой,2
летает,3
мяч,1
волшебная,4
приманка,3
смиривший,3
грубый,2
пыл,1
Облеченный,4
альпийский,3
резвой,2
девушкой,3
вступил,2
поединок,4
олимпийский,4
Слишком,2
дряхлы,2
струны,2
лир,1
Золотой,3
ракеты,3
Укрепил,3
бросил,2
Англичанин,4
вечно,2
юный,2
творит,2
обряд,2
легко,2
вооруженный,5
аттический,4
солдат,2
своего,3
врага,2
влюбленный,3
Май,1
Грозовых,3
туч,1
клочки,2
Неживая,4
зелень,2
чахнет,2
моторы,3
гудки,2
бензином,3
Ключевую,4
воду,2
пьет,1
ковша,2
спортсмэн,2
веселый,3
опять,2
война,2
идет,2
мелькает,3
локоть,2
голый,2
поклонник,3
радости,3
предвзятой,3
Подчас,2
серое,3
пятно,2
опьяненье,4
легком,2
суждено,3
Изведать,3
краски,2
небогатой,4
Играет,3
ветер,2
тучею,3
косматой,3
Ложится,3
якорь,2
морское,3
дно,1
бездыханная,5
полотно,3
Душа,2
висит,2
над,1
бездною,3
проклятой,3
люблю,2
дюнах,2
казино,3
Широкий,3
вид,1
туманное,4
окно,2
тонкий,2
луч,1
скатерти,3
измятой,3
окружен,3
водой,2
зеленоватой,5
роза,2
хрустале,3
следить,2
за,1
чайкою,3
крылатой,3
Пусть,1
имена,3
цветущих,3
городов,3
Ласкают,3
значительностью,5
бренной,2
город,2
живет,2
веков,2
место,2
человека,4
во,1
вселенной,3
Им,1
овладеть,3
пытаются,4
цари,2
Священники,4
оправдывают,5
войны,2
без,1
него,2
презрения,4
достойны,3
жалкий,2
сор,1
дома,2
алтари,3
Смутнодышащими,6
листьями,3
Черный,2
шелестит,3
трепещущая,5
ласточка,3
темном,2
небе,2
круг,1
чертит,2
Тихо,2
спорят,2
ласковом,3
Умирающем,5
моем,2
Наступающие,6
сумерки,3
догорающим,5
лучом,2
лесом,2
вечереющим,5
Встала,2
медная,3
Отчего,3
мало,2
музыки,3
такая,3
тишина,3
напряженного,5
молчанья,3
выносим,3
Несовершенство,5
душ,1
обидно,3
замешательстве,5
уж,1
объявился,4
чтец,1
радостно,3
приветствовали,5
просим,2
знал,1
присутствовал,4
незримо,3
Кошмарный,3
человек,3
читает,3
Улялюм,3
Значенье,3
суета,3
шум,1
фонетика,4
служанка,3
серафима,4
доме,2
Эшеров,3
Эдгара,3
пела,2
арфа,2
пил,1
очнулся,3
умолк,2
был,1
улице,3
Свистел,2
осенний,3
шелк,1
горло,2
греет,2
щекочущего,5
шарфа,2
вторника,3
до,1
субботы,3
Одна,2
пустыня,3
пролегла,3
длительные,4
перелеты,4
Семь,1
тысяч,2
верст,1
стрела,2
ласточки,3
летели,3
водяным,3
путем,2
Четыре,3
дня,1
они,2
висели,3
зачерпнув,3
воды,2
крылом,2
столице,3
северной,3
томится,3
пыльный,2
тополь,2
Запутался,4
листве,2
прозрачный,3
темной,2
зелени,3
фрегат,2
или,2
акрополь,3
издали,3
воде,2
небу,2
брат,1
Ладья,2
воздушная,4
мачтанедотрога,6
Служа,2
линейкою,4
преемникам,4
Петра,2
учит,2
красота,3
прихоть,2
полубога,4
хищный,2
глазомер,3
простого,3
столяра,3
Нам,1
четырех,3
стихий,2
приязненно,4
господство,3
создал,2
пятую,3
свободный,3
отрицает,4
ли,1
пространства,3
превосходство,4
Сей,1
целомудренно,5
построенный,4
ковчег,2
Сердито,3
лепятся,3
капризные,4
медузы,3
плуги,2
брошены,3
ржавеют,3
якоря,3
вот,1
разорваны,4
трех,1
измерений,4
узы,2
открываются,5
всемирные,4
Обиженно,4
уходят,3
холмы,2
Римом,2
недовольные,5
плебеи,3
Старухиовцы,5
черные,3
халдеи,3
Исчадье,3
ночи,2
капюшонах,4
тьмы,1
Их,1
тысячи,3
передвигают,5
жердочки,3
мохнатые,4
колени,3
Трясутся,3
бегут,2
курчавой,3
пене,2
жеребья,3
огромном,3
колесе,3
нужен,2
царь,1
Авентин,3
Овечий,3
семью,2
холмами,3
Собачий,3
лай,1
костер,2
небесами,4
горький,2
дым,1
жилища,3
овин,2
кустарник,3
двинулся,3
стеной,2
побежали,4
воинов,3
идут,2
священном,3
беспорядке,4
руно,2
тяжелою,4
волной,2
Сусальным,3
золотом,3
горят,2
лесах,2
рождественские,5
елки,2
кустах,2
игрушечные,5
волки,2
Глазами,3
страшными,3
глядят,2
вещая,3
печаль,2
тихая,3
неживого,4
небосвода,4
Всегда,2
смеющийся,4
хрусталь,2
выбежав,3
свободен,3
Стал,1
колоннады,4
полукруг,3
распластался,4
храм,1
Господень,3
легкий,2
крестовикпаук,5
зодчий,2
итальянец,4
русский,2
Риме,2
ну,1
ж,0
иностранец,4
Сквозь,1
рощу,2
портиков,3
идешь,2
храма,2
маленькое,4
тело,2
Одушевленнее,6
стократ,2
Гиганта,3
скалою,3
целой,2
земле,2
беспомощный,4
прижат,2
пронзительнее,5
свиста,2
слышу,2
английский,3
язык,2
Оливера,4
Твиста,2
кипами,3
конторских,3
книг,1
Чарльза,2
Диккенса,3
спросите,3
было,2
Лондоне,3
тогда,2
Контора,3
Домби,2
старом,2
Сити,2
Темзы,2
желтая,3
вода,2
Дожди,2
слезы,2
Белокурый,4
нежный,2
мальчик,2
Домбисын,3
Веселых,3
клэрков,2
каламбуры,4
понимает,4
один,2
конторе,3
сломанные,4
стулья,2
шиллинги,3
пэнсы,2
счет,1
пчелы,2
вылетев,3
улья,2
Роятся,3
цифры,2
круглый,2
год,1
грязных,2
адвокатов,4
жало,2
Работает,4
табачной,3
мгле,1
старая,3
мочала,3
Банкрот,2
болтается,4
петле,2
стороне,3
врагов,2
законы,3
ничем,2
нельзя,2
помочь,2
клетчатые,4
панталоны,4
Рыдая,3
обнимает,4
дочь,1
Невыразимая,6
Открыла,3
два,1
огромных,3
Цветочная,4
проснулась,3
ваза,2
выплеснула,4
свой,1
Вся,1
комната,3
напоена,4
Истомой,3
сладкое,3
лекарство,3
Такое,3
царство,2
много,2
поглотило,4
сна,1
красного,3
вина,2
солнечного,4
мая,2
тоненький,3
бисквит,2
ломая,3
Тончайших,3
пальцев,2
белизна,3
Дев,1
полуночных,4
отвага,3
безумных,3
разбег,2
привяжется,4
бродяга,3
Вымогая,4
ночлег,2
скажите,3
сознанье,3
Виноградом,4
замутит,3
явь,1
созданье,3
Медный,2
всадник,2
гранит,2
крепости,3
сигналы,3
Замечаю,4
тепло,2
Выстрел,2
пушечный,3
подвалы,3
Вероятно,4
донесло,3
гораздо,3
глубже,2
бреда,2
Воспаленной,4
головы,3
трезвая,3
беседа,3
западный,3
Невы,2
вздрагиваю,4
холода,3
хочется,3
онеметь,3
танцует,3
золото,3
Приказывает,5
петь,1
Томись,2
музыкант,3
встревоженный,4
Люби,2
вспоминай,3
плачь,1
тусклой,2
планеты,3
брошенный,3
Подхватывай,4
настоящая,5
таинственным,4
миром,2
тоска,2
щемящая,4
беда,2
стряслась,2
вздрогнув,2
неправильно,4
Мерцающая,5
Своей,2
булавкой,3
заржавленной,4
Достанет,3
звезда,2
Сегодня,3
дурной,2
Кузнечиков,4
спит,1
сумрачных,3
скал,1
сень,1
Мрачней,2
гробовых,3
плит,1
Мелькающих,4
стрел,1
звон,1
вещих,2
ворон,2
крик,1
сон,1
мигом,2
летит,2
миг,1
Явлений,3
раздвинь,2
грань,1
Земную,3
разрушь,2
клеть,1
яростный,3
гимн,1
грянь,1
Бунтующих,4
тайн,1
медь,1
маятник,3
строг,1
Качается,4
глух,1
прям,1
страстно,2
стучит,2
рок,1
запретную,4
Быть,1
может,2
тебе,2
пучины,3
мировой,3
раковина,4
жемчужин,3
выброшен,3
берег,2
равнодушно,4
волны,2
пенишь,2
несговорчиво,5
поешь,2
полюбишь,3
оценишь,3
Ненужной,3
раковины,4
ней,1
рядом,2
ляжешь,2
Оденешь,3
ризою,3
неразрывно,4
нею,2
свяжешь,2
Огромный,3
колокол,3
зыбей,2
хрупкой,2
стены,2
нежилого,4
дом,1
Наполнишь,3
шепотами,4
Туманом,3
ветром,2
дождем,2
луне,2
одной,2
былинки,3
весь,1
Делает,3
корзинки,3
соломы,3
плетет,2
Легкие,3
полутьма,3
опрятней,3
Просто,2
голубятни,4
Голубые,4
Чудоголубятни,6
Бессонница,4
Гомер,2
Тугие,3
паруса,3
список,2
кораблей,3
прочел,2
середины,4
длинный,2
выводок,3
поезд,2
журавлиный,4
Элладою,4
когдато,3
поднялся,3
клин,1
чужие,3
рубежи,3
головах,3
царей,2
божественная,5
пена,2
Куда,2
плывете,3
вы,1
Елена,3
Троя,2
вам,1
ахейские,4
мужи,2
море,2
движется,3
Кого,2
слушать,2
молчит,2
черное,3
витийствуя,4
шумит,2
тяжким,2
грохотом,3
подходит,3
изголовью,4
желтизной,3
правительственных,5
зданий,2
Кружилась,3
долго,2
мутная,3
метель,2
правовед,3
садится,3
сани,2
Широким,3
жестом,2
запахнув,3
шинель,2
Зимуют,3
пароходы,4
припеке,3
Зажглось,2
каюты,3
толстое,3
стекло,2
Чудовищна,4
броненосец,4
доке,2
отдыхает,4
тяжело,3
Невой,2
посольства,3
полумира,4
Адмиралтейство,5
солнце,2
государства,4
жесткая,3
порфира,3
власяница,4
грубая,3
бедна,2
Тяжка,2
обуза,3
северного,4
сноба,2
Онегина,4
старинная,4
площади,3
Сената,3
вал,1
сугроба,3
Дымок,2
костра,2
холодок,3
штыка,2
Черпали,3
ялики,3
чайки,2
Морские,3
посещали,4
склад,1
пеньки,2
продавая,4
сбитень,2
сайки,2
оперные,4
бродят,2
мужики,3
моторов,3
вереница,4
Самолюбивый,5
скромный,2
пешеход,3
Чудак,2
Евгений,3
бедности,3
стыдится,3
Бензин,2
вдыхает,3
судьбу,2
клянет,2
омута,3
злого,2
вязкого,3
вырос,2
тростинкой,3
шурша,2
томно,2
ласково,3
Запретною,4
жизнью,2
дыша,2
никну,2
никем,2
замеченный,4
холодный,3
топкий,2
приют,2
Приветственным,4
шелестом,3
встреченный,3
Коротких,3
осенних,3
минут,2
счастлив,2
жестокой,3
обидою,4
похожей,3
каждому,3
тайно,2
завидую,4
каждого,3
влюблен,2
АйяСофия,5
остановиться,5
Судил,2
Господь,2
народам,3
царям,2
Ведь,1
купол,2
слову,2
очевидца,4
цепи,2
подвешен,3
небесам,3
всем,1
векам,2
пример,2
Юстиниана,5
чужих,2
богов,2
Позволила,4
эфесская,4
Диана,3
Сто,1
зеленых,3
мраморных,3
столбов,2
думал,2
строитель,3
щедрый,2
душой,2
помыслом,3
высок,2
Расположил,4
апсиды,3
экседры,3
указав,3
запад,2
восток,2
Прекрасен,3
купающийся,5
мире,2
сорок,2
окон,2
света,2
торжество,3
парусах,3
куполом,3
Архангела,4
прекраснее,4
мудрое,3
сферическое,5
зданье,2
Народы,3
века,2
переживет,4
серафимов,4
гулкое,3
рыданье,3
покоробит,4
темных,2
позолот,3
перламутровый,5
челнок,2
Натягивая,5
шёлка,2
нити,2
пальцы,2
гибкие,3
начните,3
Очаровательный,6
урок,2
Приливы,3
отливы,3
рук,1
Однообразные,6
движенья,3
заклинаешь,4
сомненья,3
Какойто,3
солнечный,3
испуг,2
широкая,4
ладонь,2
пламенея,4
То,1
гаснет,2
теням,2
тяготея,4
розовый,3
уйдет,2
огонь,2
свободе,3
небывалой,4
Сладко,2
думать,2
свечи,2
побудь,2
со,1
мной,1
сначала,3
Верность,2
плакала,3
мою,2
корону,3
Возлагаю,4
тебя,2
Чтоб,1
закону,3
Подчинился,4
любя,2
Обручен,3
Эту,2
легкую,3
Никогда,3
сниму,2
брошенным,3
пространстве,3
Обреченным,4
умереть,3
прекрасном,3
постоянстве,4
верности,3
жалеть,2
Есть,1
ценностей,3
незыблемая,5
ска́ла,2
скучными,3
ошибками,4
наложена,4
опала,3
автора,3
возвышенных,4
стихов,2
вслед,1
тем,1
Сумароков,4
Пролепетал,4
заученную,5
роль,1
царский,2
посох,2
скинии,3
пророков,3
цвела,2
торжественная,5
боль,1
делать,2
полуслова,4
полумаск,3
герои,3
явленье,3
Озерова,4
Последний,3
трагической,4
зари,2
стою,2
могу,2
иначе,3
просветлеет,4
темная,3
гора,2
кряжистого,4
Лютера,3
незрячий,3
Витает,3
дух,1
кони,2
медленно,3
ступают,3
фонарях,3
огня,2
люди,2
верно,2
знают,2
везут,2
вверяюсь,3
заботе,3
холодно,3
спать,1
хочу,2
Подбросило,4
повороте,4
Навстречу,3
звездному,3
лучу,2
Горячей,3
качанье,3
лед,1
чужой,2
елей,2
очертанья,4
невиданные,5
Уже,2
светло,2
сирена,3
седьмом,2
часу,2
утра,2
Старик,2
похожий,3
Верлэна,3
Теперь,2
твоя,2
пора,2
глазах,2
лукавый,3
детский,2
Зеленый,3
огонек,3
шею,2
нацепил,3
турецкий,3
Узорчатый,4
платок,2
богохульствует,5
бормочет,3
Несвязные,4
слова,2
исповедываться,6
хочет,2
согрешить,3
сперва,2
Разочарованный,6
рабочий,3
Иль,1
огорченный,4
мот,1
глаз,1
подбитый,3
недрах,2
радуга,3
цветет,2
руганью,3
ярости,3
бледна,2
Встречает,3
пьяного,3
Сократа,3
Суровая,4
жена,2
обитаемая,6
духом,2
избранных,3
удел,2
Орлиным,3
зреньем,2
дивным,2
слухом,2
Священник,3
римский,2
уцелел,3
голубь,2
грома,2
Которым,3
церковь,2
апостольском,4
созвучье,3
Roma,0
веселит,3
повторяю,4
это,2
вечным,2
небес,2
говоривший,4
сумраке,3
исчез,2
бледноголубой,5
эмали,3
мыслима,3
апреле,3
Березы,3
ветви,2
поднимали,4
незаметно,4
вечерели,4
Узор,2
отточенный,4
мелкий,2
Застыла,3
тоненькая,4
сетка,2
фарфоровой,4
тарелке,3
Рисунок,3
вычерченный,4
метко,2
художник,3
милый,2
Выводит,3
стеклянной,3
тверди,2
сознании,4
минутной,3
силы,2
забвении,4
печальной,3
смерти,2
мой,1
Сердцевина,4
бытия,3
Скоро,2
ль,0
истиной,3
народа,3
Станет,2
истина,3
поклонился,4
Прежде,2
себя,2
нашел,2
взял,1
развеселился,5
далекий,3
пошел,2
снега,2
черных,2
пашнях,2
растают,3
моих,2
домашних,3
попрежнему,4
чужда,2
растает,3
утесах,3
Солнцем,2
истины,3
палим,2
Прав,1
вручивший,3
увидевшему,5
удар,2
ударами,4
встречается,4
надо,2
мною,2
роковой,3
Неутомимый,5
судьбой,2
Торопится,4
грубо,2
остановится,5
упадет,3
веретено,4
невозможно,4
встретиться,3
условиться,4
уклониться,4
дано,2
Узоры,3
острые,3
переплетаются,6
быстрее,3
быстрей,2
Отравленные,5
дротики,3
взвиваются,4
руках,2
отважных,3
